"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 04 13:40:11 GMT 2022","Fri Mar 04 13:40:11 GMT 2022","518","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenCreatingValidUser","verifySchemaOfResponseWhenCreatingValidUser",""
"passed","Fri Mar 04 13:40:10 GMT 2022","Fri Mar 04 13:40:11 GMT 2022","1025","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyLoginResponseSchema","verifyLoginResponseSchema",""
"passed","Fri Mar 04 13:40:13 GMT 2022","Fri Mar 04 13:40:13 GMT 2022","442","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser",""
"passed","Fri Mar 04 13:40:13 GMT 2022","Fri Mar 04 13:40:14 GMT 2022","688","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser",""
"passed","Fri Mar 04 13:40:11 GMT 2022","Fri Mar 04 13:40:12 GMT 2022","668","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenGettingUser","verifySchemaOfResponseWhenGettingUser",""
"failed","Fri Mar 04 13:40:07 GMT 2022","Fri Mar 04 13:40:10 GMT 2022","2537","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyDeleteUserResponseStatusCode","verifyDeleteUserResponseStatusCode",""
"passed","Fri Mar 04 13:40:14 GMT 2022","Fri Mar 04 13:40:14 GMT 2022","0","Command line suite","Command line test","tests.contacts.ContactsTest","tests.contacts.ContactsTest","testTest","testTest",""
"passed","Fri Mar 04 13:40:12 GMT 2022","Fri Mar 04 13:40:13 GMT 2022","612","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenUpdatingUser","verifySchemaOfResponseWhenUpdatingUser",""
